iter	RMSE
0	14.63677037
1	14.1697172
2	13.75503129
3	13.32602616
4	12.93092523
5	12.55352731
6	12.18864449
7	11.87053731
8	11.55969491
9	11.21707719
10	10.8880919
11	10.6199116
12	10.33075819
13	10.06989634
14	9.829242676
15	9.55815035
16	9.326115099
17	9.119577467
18	8.904324186
19	8.707697552
20	8.527144595
21	8.354944386
22	8.192179398
23	8.03041666
24	7.87472664
25	7.770481196
26	7.641177057
27	7.53444613
28	7.416308766
29	7.302323654
30	7.207705458
31	7.103721747
32	7.000526338
33	6.913717218
34	6.821138438
35	6.731162252
36	6.649168328
37	6.580206151
38	6.506932913
39	6.437794108
40	6.374438276
41	6.310902309
42	6.25237902
43	6.20260098
44	6.144155352
45	6.097216687
46	6.045446261
47	5.99735005
48	5.949691922
49	5.90577756
50	5.87269739
51	5.839435167
52	5.801843437
53	5.764204814
54	5.722681157
55	5.69496538
56	5.663761956
57	5.642171216
58	5.617123581
59	5.596033695
60	5.573032463
61	5.548919689
62	5.522788729
63	5.49858866
64	5.476307266
65	5.45890508
66	5.437065373
67	5.416823212
68	5.401606127
69	5.38125534
70	5.358917855
71	5.344158648
72	5.331049375
73	5.313335933
74	5.300020237
75	5.284814109
76	5.270610952
77	5.255263972
78	5.240685446
79	5.230488767
80	5.224974392
81	5.208136266
82	5.20212722
83	5.19184395
84	5.180815575
85	5.172267994
86	5.158593348
87	5.151166109
88	5.141696097
89	5.126573334
90	5.118623832
91	5.111897031
92	5.10307272
93	5.093537187
94	5.087715667
95	5.082042129
96	5.072061763
97	5.062349106
98	5.056343845
99	5.044906584
100	5.03868726
101	5.035489468
102	5.028552227
103	5.024570053
104	5.013018977
105	5.005428826
106	4.995806666
107	4.989549329
108	4.982815081
109	4.975542544
110	4.973266456
111	4.968097261
112	4.963837471
113	4.956505076
114	4.951172263
115	4.941682878
116	4.935491712
117	4.928320534
118	4.922911337
119	4.913492163
120	4.907302094
121	4.903000628
122	4.897301246
123	4.888309344
124	4.88517349
125	4.878460162
126	4.873131983
127	4.869172898
128	4.862174256
129	4.855155941
130	4.846889555
131	4.839049032
132	4.834883825
133	4.82634335
134	4.819179447
135	4.813298919
136	4.806039104
137	4.79948079
138	4.794247075
139	4.785980778
140	4.784973846
141	4.782092694
142	4.778151848
143	4.770522016
144	4.762377401
145	4.757995002
146	4.754241572
147	4.751245597
148	4.745813568
149	4.744657338
150	4.735615025
151	4.733140612
152	4.72868116
153	4.724051198
154	4.717681072
155	4.711572143
156	4.709108651
157	4.704009543
158	4.699514515
159	4.694849961
160	4.692283182
161	4.684560924
162	4.679135091
163	4.675338728
164	4.670228474
165	4.666983899
166	4.657918428
167	4.654320321
168	4.649646211
169	4.646339786
170	4.64433914
171	4.637220193
172	4.634660897
173	4.62686118
174	4.623803656
175	4.622229701
176	4.620474087
177	4.615059931
178	4.610711406
179	4.601869231
180	4.594923805
181	4.586578406
182	4.583836599
183	4.580707396
184	4.578572952
185	4.57766833
186	4.575645322
187	4.573086985
188	4.566212331
189	4.563297599
190	4.558156688
191	4.557376405
192	4.557116253
193	4.552356534
194	4.548187394
195	4.5471181
196	4.545937641
197	4.537418426
198	4.532999671
199	4.532750796
