iter	Passed	Remaining
0	21	21723
1	29	14669
2	32	10876
3	34	8671
4	36	7349
5	42	7101
6	45	6453
7	47	5904
8	50	5540
9	52	5236
10	55	5005
11	57	4775
12	59	4550
13	61	4335
14	63	4161
15	65	4013
16	66	3868
17	68	3746
18	70	3663
19	72	3556
20	74	3455
21	75	3358
22	77	3278
23	78	3201
24	80	3141
25	82	3072
26	83	3014
27	85	2980
28	87	2932
29	89	2884
30	90	2833
31	92	2784
32	93	2739
33	95	2714
34	97	2674
35	98	2637
36	100	2623
37	102	2593
38	104	2562
39	105	2532
40	106	2502
41	108	2474
42	110	2448
43	111	2421
44	112	2395
45	114	2382
46	116	2365
47	118	2342
48	119	2320
49	120	2298
50	122	2280
51	123	2258
52	125	2239
53	126	2220
54	128	2202
55	130	2197
56	132	2186
57	133	2169
58	135	2153
59	136	2136
60	137	2122
61	139	2108
62	140	2095
63	142	2081
64	143	2070
65	145	2065
66	147	2056
67	149	2054
68	152	2062
69	156	2082
70	158	2072
71	160	2072
72	162	2066
73	164	2054
74	165	2044
75	167	2032
76	168	2020
77	169	2008
78	171	1997
79	172	1987
80	174	1977
81	176	1975
82	177	1959
83	178	1949
84	180	1941
85	181	1932
86	183	1922
87	184	1913
88	186	1903
89	187	1894
90	188	1884
91	191	1885
92	192	1880
93	194	1873
94	195	1866
95	197	1858
96	198	1850
97	200	1843
98	201	1835
99	203	1827
100	204	1821
101	206	1820
102	208	1814
103	209	1807
104	211	1799
105	212	1792
106	213	1784
107	215	1777
108	216	1772
109	218	1765
110	220	1763
111	222	1762
112	224	1758
113	225	1753
114	227	1747
115	228	1740
116	229	1732
117	231	1726
118	232	1720
119	233	1713
120	236	1716
121	237	1711
122	239	1705
123	240	1699
124	241	1693
125	243	1687
126	244	1680
127	245	1675
128	247	1671
129	248	1665
130	250	1664
131	252	1661
132	254	1658
133	256	1656
134	257	1652
135	259	1649
136	261	1647
137	262	1642
138	264	1636
139	266	1637
140	268	1634
141	269	1627
142	270	1622
143	272	1617
144	273	1613
145	274	1608
146	276	1603
147	277	1599
148	279	1594
149	281	1594
150	283	1592
151	284	1588
152	286	1583
153	287	1578
154	288	1574
155	290	1570
156	291	1566
157	293	1562
158	294	1558
159	297	1560
160	298	1554
161	299	1550
162	301	1546
163	302	1541
164	303	1538
165	305	1534
166	306	1529
167	308	1525
168	309	1521
169	311	1522
170	313	1519
171	314	1516
172	316	1512
173	317	1509
174	319	1505
175	320	1501
176	322	1497
177	323	1493
178	325	1491
179	327	1491
180	328	1488
181	330	1484
182	331	1481
183	333	1478
184	334	1474
185	335	1470
186	337	1466
187	338	1463
188	340	1461
189	342	1460
190	344	1458
191	345	1455
192	347	1453
193	349	1450
194	351	1449
195	352	1446
196	354	1443
197	355	1440
198	357	1440
199	359	1438
200	361	1435
201	362	1431
202	363	1428
203	365	1424
204	366	1421
205	368	1419
206	369	1415
207	371	1413
208	373	1412
209	374	1409
210	375	1405
211	377	1402
212	378	1399
213	380	1396
214	381	1393
215	382	1389
216	384	1387
217	386	1385
218	388	1383
219	389	1380
220	390	1378
221	392	1375
222	393	1372
223	395	1369
224	396	1366
225	398	1365
226	402	1368
227	404	1370
228	406	1368
229	408	1367
230	410	1367
231	413	1369
232	416	1370
233	418	1368
234	419	1365
235	420	1362
236	422	1359
237	423	1356
238	424	1353
239	426	1350
240	427	1347
241	429	1344
242	431	1345
243	433	1343
244	434	1340
245	436	1337
246	437	1334
247	439	1331
248	440	1328
249	441	1325
250	443	1322
251	444	1319
252	446	1318
253	448	1316
254	450	1314
255	451	1312
256	453	1310
257	455	1309
258	456	1307
259	458	1304
260	459	1301
261	461	1300
262	463	1298
263	464	1296
264	466	1293
265	467	1290
266	469	1288
267	470	1285
268	471	1282
269	473	1279
270	474	1276
271	476	1276
272	478	1274
273	479	1271
274	481	1268
275	482	1266
276	484	1263
277	485	1261
278	486	1258
279	488	1255
280	489	1253
281	492	1253
282	493	1251
283	495	1248
284	496	1246
285	498	1244
286	499	1241
287	501	1239
288	502	1236
289	504	1234
290	505	1231
291	507	1231
292	509	1229
293	510	1226
294	512	1224
295	513	1222
296	515	1219
297	516	1217
298	518	1214
299	519	1212
300	521	1210
301	523	1209
302	524	1207
303	526	1205
304	528	1203
305	529	1200
306	530	1198
307	532	1195
308	533	1193
309	534	1190
310	536	1189
311	538	1187
312	540	1186
313	542	1184
314	543	1182
315	545	1181
316	548	1180
317	549	1178
318	551	1176
319	553	1175
320	554	1173
321	556	1170
322	557	1168
323	558	1165
324	560	1163
325	561	1161
326	563	1158
327	564	1156
328	566	1155
329	568	1154
330	569	1152
331	571	1149
332	572	1147
333	574	1144
334	575	1142
335	577	1140
336	578	1137
337	579	1135
338	581	1134
339	583	1133
340	585	1131
341	586	1128
342	588	1126
343	589	1124
344	590	1121
345	592	1119
346	593	1117
347	595	1114
348	597	1113
349	598	1112
350	600	1109
351	601	1107
352	603	1105
353	604	1103
354	605	1100
355	607	1098
356	608	1096
357	610	1094
358	612	1094
359	614	1092
360	615	1090
361	617	1087
362	618	1085
363	620	1083
364	621	1081
365	622	1079
366	624	1076
367	625	1074
368	628	1074
369	629	1072
370	631	1070
371	632	1068
372	634	1065
373	635	1063
374	637	1061
375	638	1059
376	639	1057
377	641	1055
378	643	1054
379	645	1052
380	646	1050
381	648	1049
382	650	1047
383	652	1046
384	653	1043
385	654	1041
386	656	1040
387	658	1039
388	660	1036
389	661	1034
390	662	1032
391	664	1030
392	665	1028
393	667	1025
394	668	1023
395	669	1021
396	671	1020
397	673	1019
398	675	1017
399	676	1014
400	678	1012
401	679	1010
402	681	1008
403	682	1006
404	683	1004
405	685	1002
406	687	1001
407	688	999
408	690	997
409	691	995
410	693	993
411	694	991
412	696	989
413	697	987
414	698	984
415	700	982
416	702	981
417	704	980
418	705	978
419	706	976
420	708	974
421	709	972
422	711	970
423	712	968
424	714	966
425	715	964
426	717	962
427	719	961
428	720	959
429	722	957
430	723	955
431	725	953
432	726	951
433	727	949
434	729	947
435	731	946
436	733	944
437	734	943
438	736	941
439	738	939
440	739	937
441	741	936
442	743	934
443	744	932
444	746	930
445	748	929
446	749	927
447	751	925
448	752	923
449	753	921
450	755	919
451	756	917
452	758	915
453	759	913
454	760	911
455	762	910
456	764	908
457	766	906
458	767	904
459	768	902
460	770	900
461	771	898
462	773	896
463	774	894
464	776	892
465	778	891
466	779	890
467	781	888
468	782	886
469	784	884
470	785	882
471	787	881
472	789	879
473	792	879
474	795	879
475	797	877
476	799	876
477	801	874
478	802	872
479	804	871
480	805	869
481	807	867
482	809	866
483	810	864
484	812	862
485	813	860
486	815	858
487	816	856
488	817	854
489	819	852
490	820	850
491	823	849
492	824	848
493	826	846
494	827	844
495	829	842
496	830	840
497	831	838
498	833	836
499	834	834
500	836	832
501	838	831
502	839	829
503	841	828
504	843	826
505	845	825
506	847	823
507	848	822
508	850	820
509	851	818
510	854	817
511	855	815
512	857	813
513	858	811
514	859	809
515	861	807
516	862	806
517	864	804
518	865	802
519	867	800
520	869	799
521	870	797
522	872	795
523	873	793
524	874	791
525	876	789
526	877	787
527	879	785
528	880	784
529	882	782
530	884	781
531	885	779
532	887	777
533	888	775
534	890	773
535	891	771
536	893	770
537	894	768
538	895	766
539	897	764
540	899	763
541	901	761
542	902	759
543	904	758
544	905	756
545	907	754
546	908	752
547	910	750
548	911	748
549	913	747
550	915	746
551	917	744
552	918	742
553	919	740
554	921	738
555	922	736
556	924	735
557	925	733
558	927	731
559	929	730
560	931	728
561	932	727
562	934	725
563	937	724
564	938	722
565	940	721
566	942	719
567	944	718
568	945	716
569	947	714
570	948	712
571	949	710
572	951	708
573	952	707
574	954	705
575	955	703
576	959	703
577	962	702
578	964	701
579	966	699
580	967	698
581	969	696
582	970	694
583	973	693
584	975	691
585	976	689
586	977	687
587	979	686
588	980	684
589	982	682
590	983	680
591	984	678
592	986	677
593	988	675
594	990	674
595	991	672
596	993	670
597	994	668
598	996	666
599	997	665
600	998	663
601	1000	661
602	1002	660
603	1004	658
604	1005	656
605	1007	654
606	1008	653
607	1009	651
608	1011	649
609	1012	647
610	1014	645
611	1015	643
612	1017	642
613	1019	640
614	1021	639
615	1022	637
616	1024	635
617	1026	634
618	1027	632
619	1029	630
620	1030	629
621	1032	627
622	1034	626
623	1036	624
624	1037	622
625	1039	620
626	1040	619
627	1042	617
628	1043	615
629	1045	613
